"","Year","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones","mast"
"1",1988,216,46.7592592592593,2.97298637101158,NA,145.868050553848,"n"
"2",1989,231,0,0,2.97298637101158,0.00552515607190955,"n"
"3",1990,230,36.4260869565217,2.03130931727708,0,119.453112192285,"n"
"4",1990,230,36.4260869565217,2.03130931727708,0,119.453112192285,"n"
"5",1991,501,1.5688622754491,0.307348379095474,2.03130931727708,3.81714375475499,"n"
"6",1992,492,71.5345528455285,2.88212959317719,0.307348379095474,258.582100733184,"n"
"7",1993,501,152.73253493014,3.37876683110508,2.88212959317719,623.32630653323,"y"
"8",1994,510,2.63529411764706,0.4109953603701,3.37876683110508,6.64962594330792,"n"
"9",1995,510,113.096078431373,3.35200294829969,0.4109953603701,430.910807929254,"n"
"10",1996,340,59.5735294117647,2.80016278972815,3.35200294829969,206.520971734182,"n"
"11",1997,331,41.7492447129909,2.52929951278436,2.80016278972815,131.252586635972,"n"
"12",1998,248,286.729838709677,4.90977348768902,2.52929951278436,1210.08478463706,"y"
"13",1999,248,27.616935483871,1.73568653238248,4.90977348768902,89.9708244704021,"n"
"14",2000,255,1.77647058823529,0.35651367459647,1.73568653238248,4.29480187936862,"n"
"15",2001,256,18.1015625,1.42421502679074,0.35651367459647,54.4440709758069,"n"
"16",2002,257,34.8287937743191,1.843705876406,1.42421502679074,118.353801737753,"n"
"17",2003,257,9.18287937743191,0.970934426395015,1.843705876406,25.2467854675268,"n"
"18",2004,256,11.51953125,0.936466156896331,0.970934426395015,34.7034856817205,"n"
"19",2005,565,129.525663716814,2.67448410719385,0.936466156896331,536.872673576985,"y"
"20",2006,709,2.80818053596615,0.312260223559565,2.67448410719385,8.09588328481564,"n"
"21",2007,709,33.672778561354,1.82054662761672,0.312260223559565,112.939264691518,"n"
"22",2008,709,5.87165021156559,0.553999057378955,1.82054662761672,18.713173973021,"n"
"23",2009,757,20.0528401585205,1.40596382285292,0.553999057378955,61.8832717422038,"n"
"24",2010,758,353.377308707124,4.64199347824857,1.40596382285292,1614.60488805008,"y"
"25",2011,752,0.263297872340426,0.0692590073348086,4.64199347824857,0.559525074951572,"n"
"26",2012,651,21.5391705069124,1.63193700452332,0.0692590073348086,66.1690473091757,"n"
"27",2013,664,33.703313253012,2.18241685305259,1.63193700452332,106.022563542342,"n"
"28",2014,553,235.996383363472,4.53095504063181,2.18241685305259,993.274581840761,"y"
"29",2015,561,0,0,4.53095504063181,0.00552515607190955,"n"
"30",2016,561,2.0427807486631,0.453536911987815,0,4.48373478009384,"n"
"31",2017,583,20.9056603773585,1.90178468900054,0.453536911987815,60.9160749596009,"n"
"32",1989,0,0,0,2.97298637101158,0.005525156,"n"
